front,back,tags
前,qián<br>front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly<br><small>上前 (shàng qián); 之前 (zhī qián); 事前 (shì qián)</small>,zero_beginner
发,fā<br>to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds)<br><small>下发 (xià fā); 举发 (jǔ fā); 传发 (chuán fā)</small>,zero_beginner
经,jīng<br>surname Jing<br><small>一经 (yī jīng); 业经 (yè jīng); 东经 (dōng jīng)</small>,zero_beginner
情,qíng<br>(bound form) feelings; emotion; sentiment; passion; (bound form) situation; condition<br><small>七情 (qī qíng); 下情 (xià qíng); 世情 (shì qíng)</small>,zero_beginner
把,"bǎ<br>to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the ob<br><small>个把 (gè bǎ); 倒把 (dǎo bǎ); 刹把 (shā bǎ)</small>",zero_beginner
老,lǎo<br>prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerabl<br><small>二老 (èr lǎo); 偕老 (xié lǎo); 元老 (yuán lǎo)</small>,zero_beginner
些,"xiē<br>classifier indicating a small amount or small number greater than 1: some, a few, several<br><small>一些 (yī xiē); 些微 (xiē wēi); 些许 (xiē xǔ)</small>",zero_beginner
话,"huà<br>dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]<br><small>电话 (diàn huà); 说话 (shuō huà); 对话 (duì huà)</small>",zero_beginner
已,yǐ<br>already; to stop; then; afterwards<br><small>不已 (bù yǐ); 业已 (yè yǐ); 久已 (jiǔ yǐ)</small>,zero_beginner
又,yòu<br>(once) again; also; both... and...; and yet; (used for emphasis) anyway<br><small>又及 (yòu jí); 又名 (yòu míng); 又称 (yòu chēng)</small>,zero_beginner
声,shēng<br>sound; voice; tone; noise; reputation; classifier for sounds<br><small>一声 (yī shēng); 七声 (qī shēng); 上声 (shǎng shēng)</small>,zero_beginner
意,yì<br>(bound form) idea; thought; meaning; sense; (bound form) intention; feeling; inclination; state of mind; (bound form) Italy (abbr. for 意大利[Yi4 da4 li4])<br><small>一意 (yī yì); 不意 (bù yì); 专意 (zhuān yì)</small>,zero_beginner
于,yú<br>surname Yu<br><small>乐于 (lè yú); 于丹 (yú dān); 于归 (yú guī)</small>,zero_beginner
回,huí<br>to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic b<br><small>上回 (shàng huí); 下回 (xià huí); 买回 (mǎi huí)</small>,zero_beginner
笑,xiào<br>to laugh; to smile; to laugh at<br><small>偷笑 (tōu xiào); 傻笑 (shǎ xiào); 冷笑 (lěng xiào)</small>,zero_beginner
所,"suǒ<br>actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]<br><small>亚所 (yà suǒ); 任所 (rèn suǒ); 会所 (huì suǒ)</small>",zero_beginner
但,dàn<br>but; yet; however; still; merely; only; just<br><small>不但 (bù dàn); 但丁 (dàn dīng); 但书 (dàn shū)</small>,zero_beginner
眼,"yǎn<br>eye (CL:隻|只[zhi1],雙|双[shuang1]); (often used with 一[yi1]) a look; a glance; small hole; (bound form) salient point; classifier for wells, cave-dwellings etc<br><small>一眼 (yī yǎn); 亮眼 (liàng yǎn); 亲眼 (qīn yǎn)</small>",zero_beginner
成,chéng<br>surname Cheng; short name for Chengdu 成都[Cheng2 du1]<br><small>不成 (bù chéng); 九成 (jiǔ chéng); 使成 (shǐ chéng)</small>,zero_beginner
方,fāng<br>surname Fang<br><small>一方 (yī fāng); 七方 (qī fāng); 上方 (shàng fāng)</small>,zero_beginner
年,nián<br>surname Nian<br><small>今年 (jīn nián); 去年 (qù nián); 年轻 (nián qīng)</small>,zero_beginner
见,jiàn<br>to see; to meet; to appear (to be sth); to interview; opinion; view<br><small>不见 (bú jiàn); 主见 (zhǔ jiàn); 习见 (xí jiàn)</small>,zero_beginner
当,dāng<br>(onom.) dong; ding dong (bell)<br><small>上当 (shàng dàng); 不当 (bù dàng); 了当 (liǎo dàng)</small>,hsk1_core
女,nǚ<br>female; woman; daughter<br><small>中女 (zhōng nǚ); 义女 (yì nǚ); 乙女 (yǐ nǚ)</small>,hsk1_core
真,zhēn<br>really; truly; indeed; real; true; genuine<br><small>乱真 (luàn zhēn); 仿真 (fǎng zhēn); 传真 (chuán zhēn)</small>,hsk1_core
两,"liǎng<br>two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)<br><small>三两 (sān liǎng); 两下 (liǎng xià); 两仪 (liǎng yí)</small>",hsk1_core
力,lì<br>surname Li<br><small>不力 (bù lì); 业力 (yè lì); 主力 (zhǔ lì)</small>,hsk1_core
气,qì<br>gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi<br><small>一气 (yī qì); 丧气 (sàng qì); 义气 (yì qì)</small>,hsk1_core
从,cóng<br>surname Cong<br><small>主从 (zhǔ cóng); 人从 (rén cóng); 从不 (cóng bù)</small>,hsk1_core
用,yòng<br>to use; to make use of; to employ; (coverb) with; using; to need; to have to (usu. used in the negative or in questions); usefulness; utility; (bound form) expense; outlay; (courte<br><small>不用 (bù yòng); 专用 (zhuān yòng); 两用 (liǎng yòng)</small>,hsk1_core
长,zhǎng<br>long; (bound form) length; (bound form) strong point; forte; (bound form) to be good at; (literary) surplus; spare (Taiwan pr. [zhang4])<br><small>专长 (zhuān cháng); 久长 (jiǔ cháng); 亭长 (tíng zhǎng)</small>,hsk1_core
动,"dòng<br>(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 動詞|动词[dong4 ci2], verb<br><small>不动 (bù dòng); 主动 (zhǔ dòng); 举动 (jǔ dòng)</small>",hsk1_core
